Reference #,Online Photos Aquired,Year,Make,Model,Trim,Type,TagPosition,TailLightShape,TailLightPosition,TagMouldingShape,WhiteLocation,ToRoof,BreakLight,SeparateReflectors,ReflectorOrientation,ExhaustCount,ExhaustShape,ExhaustPosition,MakeBadgeLocation,ModelBadgeLocation,TrimBadgeLocation,Bumper,GasTank,Mainfeature,Straight,bumbertobumper,FogLights,Grill
V_107,,2019,Audi,Q7,Premium,SUV,Lower Trunk,One Point Inward,Trunk Only,Large Rectangle,Reflector,No,Exterior Upper,Yes,Horizontal,2,Squared,Both,Middle,Driver Side,N/A,,Passenger Rear,,,,No,
V_108,,2018,Audi,Q7,Premium,SUV,Lower Trunk,One Point Inward,Trunk Only,Large Rectangle,Reflector,No,Exterior Upper,Yes,Horizontal,2,Squared,Both,Middle,Driver Side,N/A,,Passenger Rear,,,,Yes,
V_109,,2017,Audi,Q7,Premium Plus,SUV,Lower Trunk,One Point Inward,Trunk Only,Large Rectangle,Reflector,No,Exterior Upper,Yes,Horizontal,2,Squared,Both,Middle,Driver Side,N/A,,Passenger Rear,,,,No,
V_110,,2015,Audi,Q7,Prestige S-Line,SUV,Lower Trunk,One Point Inward,Trunk Only,Large Rectangle,Reflector,No,Exterior Upper,Yes,Horizontal,2,Round,Both,Middle,Driver Side,N/A,,Passenger Rear,,,,Yes,
V_111,,2014,Audi,Q7,Premium Plus,SUV,Lower Trunk,One Point Inward,Trunk Only,Large Rectangle,Reflector,No,Exterior Upper,Yes,Horizontal,2,Round,Both,Middle,Driver Side,N/A,,Passenger Rear,,,,Yes,
V_112,,2013,Audi,Q7,Premium Plus,SUV,Lower Trunk,One Point Inward,Trunk Only,Large Rectangle,Reflector,No,Exterior Upper,Yes,Horizontal,2,Round,Both,Middle,Driver Side,N/A,,Passenger Rear,,,,Yes,
V_113,,2021,Audi,Q8,Not Specified,SUV,Lower Trunk,One Point Inward,overlap,Upside Down Trapezoid,Other,No,Exterior Upper,Yes,Horizontal,2,Squared,Both,Middle,Driver Side,Passenger Side,,Passenger Rear,,,,No,
V_114,,2020,Audi,Q8,Not Specified,SUV,Lower Trunk,One Point Inward,overlap,Upside Down Trapezoid,Other,No,Exterior Upper,Yes,Horizontal,2,Squared,Both,Middle,Driver Side,Passenger Side,,Passenger Rear,,,,No,
V_115,,2019,Audi,Q8,Not Specified,SUV,Lower Trunk,One Point Inward,overlap,Upside Down Trapezoid,Other,No,Exterior Upper,Yes,Horizontal,2,Squared,Both,Middle,Driver Side,Passenger Side,,Passenger Rear,,,,No,
V_116,,2021,Acura,RDX,Not Specified,SUV,Middle Trunk,Two Points Inward,overlap,Trapezoid,Other,No,Exterior Upper,Yes,Horizontal,2,Round,Both,Middle,Passenger Side,Passenger Side,Partial Seam,Driver Rear,,,,No,Other
V_117,,2015,Nissan,Rogue,SV,SUV,Middle Trunk,One Point Inward,overlap,Curve Bottom Trapeziod,Bottom Outside,No,Exterior Upper,Yes,Horizontal,None Visible,Not Visible,Not Visible,Middle,Driver Side,Passenger Side,Partial Seam,Driver Rear,,,,No,Other
V_118,,2022,Audi,S3,Not Specified,Sedan,Middle Trunk,One Point Inward,overlap,Top/Bottom,Middle Inside,No,Interrior Upper,Yes,Horizontal,4,Round,Both,Middle,Driver Side,N/A,,Passenger Rear,,,,No,
